#{"t_start": 1721698698.4732277, "env_id": "NormalTBS_Env-v2"}
r,l,t
-150000.0,3000,9.45469
-150000.0,3000,17.890507
-150000.0,3000,27.327076
-150000.0,3000,36.71156
-150000.0,3000,46.088475
-18529.4,640,55.000662
-18246.6,591,62.105345
-39017.4,1276,75.595829
-2246.0,67,79.701359
-26206.6,896,90.781172
-50855.0,1750,106.34764
-47163.8,1698,121.773945
-56746.6,2256,142.139329
-11411.6,453,149.606655
-11356.8,467,156.088439
-6236.0,277,160.754956
-51952.2,2194,180.138957
-33889.0,1558,195.608611
-15976.6,799,205.47545
-3459.0,143,206.296764
-13019.4,705,214.150204
-5747.4,305,219.317549
-926.2,53,219.662898
-1988.6,107,224.105207
-17658.8,955,234.388357
-33763.0,2013,253.002639
-11613.8,775,262.733321
-6914.2,423,269.937019
-15248.8,1242,282.336856
-4037.2,293,287.120629
-6160.8,641,295.78955
-3598.4,343,301.425156
-4327.2,535,308.464999
-11118.4,1507,322.618247
-379.0,51,322.934224
-4574.6,666,330.512011
-1639.8,361,336.118477
-1664.2,305,342.04145
-874.8,188,347.540406
-3132.4,926,357.873738
-1930.2,515,364.959856
-804.2,368,370.857623
-399.6,150,375.53286
-443.2,320,381.260559
-372.0,97,381.801951
-776.8,114,385.765092
-913.6,655,393.078025
-293.2,168,398.324138
-170.2,26,398.4953
-527.2,166,402.550559
-279.0,36,402.7536
-179.0,34,402.947121
-2678.6,1042,412.659218
-232.2,43,412.903077
-236.8,54,416.800774
-146.8,18,416.895829
-214.4,71,417.289751
-168.6,14,417.369312
-319.6,83,417.851654
-178.0,45,418.165912
-234.6,47,420.629493
-27.2,107,421.288738
-204.8,51,421.640918
-187.2,140,425.039463
-192.0,67,425.442713
-190.2,54,425.786988
-332.0,135,428.72358
-202.0,180,433.326383
-570.6,263,439.330097
-380.4,154,440.224123
-278.6,42,440.49433
-178.4,35,440.717481
-324.8,374,446.516721
-162.4,64,446.870911
-222.4,140,450.073525
-229.6,103,450.707913
-1175.2,988,460.426695
-227.4,264,464.938435
-175.8,26,465.094017
-174.4,63,465.49674
-220.2,221,469.603221
-114.4,171,474.351534
-529.4,335,479.629256
-244.2,71,480.086638
-161.0,85,483.983981
-198.8,73,484.401802
-171.0,22,484.530894
-221.0,93,487.28232
-58.4,126,488.047712
-228.6,269,492.857939
-365.2,353,498.283064
-167.0,95,503.450013
-194.2,74,503.854294
-229.4,57,504.179609
-320.0,279,507.97052
-280.0,126,512.866801
-269.4,216,517.16653
-277.4,271,522.707617
-219.0,17,522.817093
-222.0,238,527.629983
-9.2,187,532.438699
-178.4,35,532.634757
-237.2,229,538.156467
-487.2,635,547.083647
-434.6,551,553.831364
-161.6,11,553.893363
-641.6,1223,566.220953
-188.4,69,566.594742
-224.2,35,566.78234
-208.8,55,570.02082
-245.0,189,571.187055
-186.0,139,575.90195
-386.0,328,581.249265
-249.2,627,589.554486
-226.6,233,595.163212
-229.2,33,595.344286
-205.8,88,595.826668
-301.0,66,596.193827
-166.0,13,596.277964
-220.0,139,599.24891
-211.8,86,599.776269
-722.4,576,606.303547
-295.6,144,611.629842
-192.4,77,612.06023
-295.0,60,615.503582
-172.2,24,615.64364
-173.0,20,615.765692
-216.4,81,616.257001
-296.8,153,619.88013
-728.6,361,625.827186
-184.2,56,626.129493
-264.2,71,629.573582
-700.2,561,637.318781
-300.6,205,642.178713
-223.0,41,642.40881
-182.4,47,642.666116
-341.8,142,643.462995
-741.8,471,649.910949
-269.0,187,654.843195
-318.2,202,659.205772
-315.6,137,659.960795
-295.6,222,664.283205
-536.0,467,671.439014
-244.6,135,675.401668
-261.4,227,676.724596
-258.8,177,681.711706
-358.6,392,687.913975
-427.2,285,693.177704
-240.2,295,698.720836
-610.6,898,707.941056
-168.4,29,712.49535
-108.8,254,718.536611
-70.2,305,724.782729
-201.2,206,730.05302
-150.6,45,730.302075
-128.2,201,735.260073
-80.6,80,735.698017
-1.4,56,736.009746
-169.6,15,736.099759
-257.4,97,736.695248
-179.0,42,739.242766
-169.0,20,739.396303
-306.0,168,740.440548
-184.6,89,744.693036
-67.6,173,745.634293
7.0,63,749.831872
-173.0,28,749.985401
-52.2,78,750.411289
-169.6,35,750.612183
-198.8,41,750.879282
-96.4,187,753.815048
-189.6,43,754.09067
-37.8,159,758.124659
-111.4,96,758.681837
-69.2,105,761.826513
-144.0,20,761.951228
-198.8,74,762.399939
-28.4,137,766.065821
-119.4,267,771.958642
-136.2,139,772.817169
-348.0,265,777.586011
-2.8,51,777.89311
-229.0,117,781.96352
-136.0,188,786.20811
-212.8,63,786.572916
-156.6,59,786.930289
-524.8,197,790.474267
-280.8,126,791.245166
-86.8,163,795.138002
-182.0,29,795.296544
-29.2,103,795.879455
-18.8,67,798.985599
-49.8,130,799.786915
-204.8,51,800.107396
-363.2,157,803.893707
-699.2,431,810.16252
-227.2,164,811.074247
-133.8,146,815.170503
-321.6,195,819.565712
-56.0,149,820.396261
-267.2,67,823.921528
-56.6,128,824.622546
-107.6,96,825.183934
-179.6,57,828.441723
-310.2,106,829.040678
-19.0,102,829.625404
-16.6,160,833.168371
-201.8,40,833.413091
-152.4,38,833.650147
-53.4,74,837.354414
-153.8,263,842.916404
-76.8,71,843.302114
-55.0,118,843.991392
-511.4,74,847.091547
-1957.2,113,847.787823
-826.0,102,851.119079
-4928.8,191,852.27497
-4632.4,221,857.161581
-1367.0,54,857.488162
-1177.4,47,861.176845
-4206.4,155,862.017435
-1770.8,112,866.030662
-583.2,84,866.486938
-3637.4,240,870.898298
-1732.0,106,871.513157
-1090.8,101,874.675452
-1534.2,72,875.099505
-1070.6,130,875.886617
-599.2,104,879.227982
-1035.6,163,883.529799
-4270.4,321,890.037514
-2064.0,119,890.770778
-1228.0,74,894.091466
-4121.0,162,895.005494
-714.0,103,899.019951
-2942.0,128,899.779214
-1017.2,33,899.979448
-605.8,60,900.363515
-17798.4,599,907.439601
-834.0,127,908.118881
-1756.6,76,911.375683
-225.4,73,911.779351
-309.0,90,912.281935
-797.6,135,915.166076
-987.0,141,915.983061
-349.0,74,919.390736
-444.0,79,919.823499
-702.8,132,920.576916
-873.6,131,924.379708
-622.4,88,924.872971
-268.4,23,924.999998
-1376.6,161,928.522894
-144.4,77,928.996039
-471.0,27,929.168552
-847.6,116,932.591954
-557.2,76,933.048013
-154.4,52,933.368551
-267.8,107,936.126833
-490.4,100,936.744693
-460.4,87,937.297778
-620.6,86,940.239142
-1602.6,222,945.153446
-831.0,82,945.615021
-2729.4,151,949.145263
-1746.8,143,949.940135
-515.2,20,950.052647
-1941.4,257,954.562683
-376.2,26,954.723226
-938.4,102,959.155175
-800.8,78,959.589235
-584.6,114,960.299332
-445.6,26,963.187027
-288.8,77,963.634355
-1496.8,117,964.339953
-720.2,37,964.579153
-342.2,93,967.804044
-140.6,37,968.005072
-560.4,46,968.246621
-432.0,70,968.64439
-977.8,112,971.426639
-303.6,61,971.75618
-1036.2,113,974.926523
-665.0,121,975.578609
-2178.8,163,979.438563
-213.4,67,979.817353
-78.8,54,980.151892
-1517.0,181,983.328473
-910.0,75,983.772703
-669.4,29,983.948675
-2775.6,216,987.488775
-450.6,188,991.964727
-155.2,64,992.306782
-180.6,66,992.691773
-1162.6,135,995.642227
-352.0,87,996.204
-49.0,59,996.577052
-835.4,66,999.345794
-327.4,115,1000.039655
-762.4,88,1000.574814
-327.8,102,1003.880866
-574.2,117,1004.517493
-153.2,61,1007.519768
-48.2,55,1007.812732
-216.2,84,1008.290774
-403.8,76,1008.782036
-144.8,87,1011.412487
-367.8,34,1011.614249
-316.2,115,1012.333057
-448.4,159,1015.85747
-409.6,61,1016.20603
-318.2,183,1019.769829
-462.2,96,1020.378793
-50.8,104,1023.633445
-200.6,86,1024.161022
-110.4,83,1024.698266
-68.2,38,1027.131718
-256.4,59,1027.448797
-266.4,18,1027.546934
-552.8,131,1028.322082
-364.2,16,1028.421597
-235.8,109,1031.841486
-1435.2,218,1036.615075
-440.2,127,1037.299521
-827.8,52,1037.613318
-205.6,75,1040.577537
-682.2,122,1041.320745
-513.4,24,1041.480263
-380.2,64,1041.890318
-268.0,26,1044.743888
-470.0,23,1044.880591
-23.4,46,1045.146361
-319.4,37,1045.359096
-560.6,201,1049.33534
-2191.6,280,1054.503202
-489.8,90,1054.984208
-154.8,122,1058.024793
-2269.0,306,1063.637559
-302.6,87,1064.140157
-1460.2,148,1067.521848
-871.2,44,1067.781259
-288.8,127,1068.58859
-348.8,201,1072.341643
-152.6,63,1076.51926
-493.4,130,1077.234069
-1601.0,248,1081.789804
-564.6,108,1082.38381
-679.2,540,1089.354485
-314.4,24,1089.483011
-200.2,61,1089.816754
-516.6,233,1094.062414
-369.8,207,1098.940473
-250.8,40,1099.158836
-676.6,175,1100.16224
-541.6,286,1105.836506
-469.4,40,1106.057099
-148.4,62,1106.395352
-161.2,89,1106.870473
-87.6,122,1109.474113
-111.2,87,1109.992051
-345.8,114,1113.279575
-152.4,54,1113.589155
-336.2,50,1113.888261
-308.2,209,1118.404796
-159.0,218,1123.314919
-121.4,121,1124.04968
-233.8,178,1127.863065
-286.6,181,1128.878455
-544.8,218,1134.039539
-410.0,212,1139.597682
-673.6,157,1144.056233
-9.0,78,1144.548782
-712.6,363,1149.850569
-153.8,81,1150.286377
-122.4,68,1150.65895
-552.0,193,1154.353174
-330.0,139,1155.220415
-108.2,60,1158.582053
-256.0,134,1159.305782
-144.8,90,1159.820797
-63.6,112,1163.65664
-78.8,230,1168.106607
-1534.0,429,1174.586258
-665.0,64,1174.966332
-886.0,140,1175.725448
-593.0,137,1179.293292
-200.0,35,1179.498562
-457.6,46,1179.784801
-806.8,396,1185.039998
-576.2,98,1185.571062
-341.6,104,1186.142498
-868.4,220,1190.016393
-637.8,284,1195.731791
-618.2,237,1201.781054
-256.2,132,1206.815278
-272.2,30,1206.993813
-207.8,126,1210.723361
-557.0,290,1217.289408
-428.2,157,1218.206128
-107.6,123,1222.265473
-191.0,54,1222.555226
-210.4,159,1226.491842
-163.6,9,1226.543891
-63.4,93,1227.089428
-237.6,121,1227.845102
-100.8,51,1230.861459
-164.6,10,1230.917213
-232.2,71,1231.302191
-33.0,107,1231.914616
-86.6,95,1234.940535
-75.4,70,1235.376608
-421.6,170,1238.933136
-508.0,216,1244.30611
-164.2,12,1244.373641
-81.0,199,1245.525946
-163.0,99,1250.23991
-79171.6,3000,1276.064991
-35136.6,2168,1296.775765
-17149.6,1510,1311.27132
-15154.0,1510,1325.935668
-4234.6,684,1334.28954
-5533.0,1221,1347.869333
-3911.8,521,1354.7948
-1259.0,219,1359.877216
-699.0,182,1364.036177
-319.6,22,1364.173704
-419.8,103,1364.837745
-785.0,264,1368.990786
-369.4,88,1373.403952
-421.2,191,1374.555996
-246.6,119,1378.966281
-250.4,156,1379.842728
-343.6,128,1384.068831
-224.4,130,1384.81832
-333.0,134,1388.683866
-297.2,133,1389.458052
-482.0,94,1393.282386
-213.6,14,1393.363422
-104.2,83,1393.849371
-275.2,49,1394.146916
-459.0,307,1398.803074
-448.2,511,1405.895394
-249.4,182,1406.887722
-219.6,20,1406.99424
-183.6,97,1410.970154
-171.4,20,1411.080266
-172.4,102,1411.657701
-216.8,79,1414.403151
-106.6,299,1420.537722
-256.6,361,1426.195931
-267.8,24,1426.348812
-875.2,293,1431.555762
-718.4,319,1438.354316
-483.2,459,1445.143305
-288.0,59,1449.930946
-243.2,100,1450.564548
-388.4,167,1454.392072
-335.4,373,1460.483253
-352.8,72,1460.903599
-492.4,154,1465.541162
